"","file","object_id","tabular","semantic","definition_list","header_row","header_column","rule_1_violation","rule_2_violation","rule_3_violation","rule_4_violation","violations_sum"
"1","1650255-9",21650,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0
"2","1650490-9",18975,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3","1650594-3",813,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"4","1649219-5",2639,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"5","1650596-1",362,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"6","1650643-1",326,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"7","1650654-11",67869,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"8","1650626-15",16079,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0
"9","1616723-5",1466,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"10","1604753-13",4708,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"11","1605331-13",39514,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"12","1606581-10",2918,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"13","1616773-4",1482,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
"14","1616723-3",751,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0
"15","1616724-12",6092,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"16","1616665-1",555,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"17","1636171-20",16842,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"18","1649097-15",5254,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"19","1646657-0",113,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"20","1639246-15",5753,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0
"21","1637843-0",124,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"22","1606599-8",3355,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"23","1637773-3",988,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,1
"24","1643577-9",23852,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"25","1648589-0",163,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,1,0,2
"26","1636115-3",9913,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"27","1648570-2",1035,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"28","1643246-1",1547,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"29","1637232-2",4035,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,1
"30","1635177-8",11622,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"31","1643743-0",17,FALSE,FALSE,TRUE,FALSE,TRUE,1,0,1,0,2
"32","1643901-0",6,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"33","1632094-0",11,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,1
"34","1636613-4",17112,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,1
"35","1644915-0",528,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0
"36","1636739-1",2231,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,1
"37","1635274-9",6068,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"38","1647373-6",2282,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"39","1634737-4",2313,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"40","1651924-11",30731,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"41","1642331-11",14392,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"42","1644142-8",23770,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0
"43","1639509-4",26218,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"44","1638569-3",8666,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"45","1648148-5",6428,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"46","1647246-9",3110,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"47","1649529-9",3869,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,0,1,2
"48","1638277-2",6799,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"49","1635308-4",1229,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"50","1638467-3",697,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"51","1616775-9",14452,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"52","1642296-18",14915,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"53","1631901-6",7983,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"54","1644640-0",532,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"55","1646201-14",4898,TRUE,FALSE,TRUE,FALSE,TRUE,1,0,0,1,2
"56","1647074-8",9613,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
"57","1637644-14",28680,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"58","1639611-0",271,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"59","1635739-0",125,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"60","1651935-2",569,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"61","1641912-0",1040,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"62","1634846-19",30952,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"63","1635280-0",9,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"64","1616723-5",1368,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"65","1642219-2",269,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"66","1646036-16",10058,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"67","1646382-18",40714,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
"68","1628970-2",2522,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"69","1635177-10",13823,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"70","1635293-5",895,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"71","1648378-1",122,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"72","1650178-0",82,FALSE,TRUE,TRUE,FALSE,TRUE,1,1,1,0,3
"73","1616697-14",4560,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"74","1632437-15",16014,FALSE,TRUE,TRUE,FALSE,TRUE,1,1,1,0,3
"75","1615667-7",12513,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"76","1649711-0",158,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"77","1649377-4",7674,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"78","1616697-14",4840,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"79","1633319-3",4486,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"80","1643048-2",897,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"81","1649328-2",406,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"82","1645996-0",38,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"83","1630623-4",14628,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"84","1642134-8",5316,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"85","1649324-0",49,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0
"86","1616745-11",19800,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"87","1634226-3",2137,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,1
"88","1633413-5",4414,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"89","1634080-5",10924,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"90","1643281-4",8720,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,1,0,2
"91","1636101-4",14854,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"92","1635631-4",11861,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"93","1634993-0",71,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"94","1640915-2",1430,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"95","1648207-1",2814,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"96","1615667-3",3553,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"97","1642442-3",4439,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,1
"98","1642790-8",2332,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"99","1646657-1",1166,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"100","1638279-9",33155,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"101","1644746-0",378,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"102","1638348-1",237,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"103","1632227-6",3520,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0
"104","1649073-0",124,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"105","1631901-3",4312,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"106","1642456-12",26420,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,0,1,2
"107","1643374-4",560,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"108","1634296-2",3095,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"109","1644183-1",133,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"110","1632014-4",656,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"111","1636989-8",2432,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"112","1616716-2",3704,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"113","1647920-0",181,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"114","1650737-0",20,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"115","1639808-9",3092,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"116","1642775-9",32840,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"117","1638392-13",69746,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"118","1647964-7",1306,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"119","1640966-4",11484,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"120","1646657-7",4795,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,1
"121","1635100-5",11185,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"122","1634815-9",8855,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"123","1646451-0",78,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"124","1632088-4",7038,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"125","1643669-0",316,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"126","1646704-2",5711,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"127","1635842-0",206,FALSE,TRUE,TRUE,FALSE,TRUE,1,1,1,0,3
"128","1634723-0",253,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"129","1615857-2",3094,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"130","1634760-1",627,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"131","1650866-3",4910,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"132","1644124-0",116,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"133","1648988-8",615,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"134","1638888-1",568,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"135","1645094-0",30,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"136","1648709-4",2980,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,1
"137","1636108-3",2655,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"138","1644933-17",5802,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"139","1637874-6",22438,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"140","1642367-5",2391,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"141","1634173-1",1437,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"142","1638467-3",759,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"143","1646201-11",3836,TRUE,FALSE,TRUE,FALSE,TRUE,1,0,0,1,2
"144","1641994-2",674,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"145","1621809-2",2579,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,1
"146","1638831-16",36691,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"147","1641680-4",5300,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"148","1648827-1",2371,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"149","1642331-5",5692,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"150","1641578-0",126,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"151","1640796-19",68469,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"152","1636247-3",5197,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"153","1637735-3",6448,TRUE,FALSE,TRUE,TRUE,FALSE,1,0,0,1,2
"154","1637258-4",1135,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,1,1
"155","1646571-6",12940,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"156","1638617-3",4859,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"157","1640322-3",10090,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,1,1
"158","1647189-12",20537,FALSE,FALSE,TRUE,FALSE,TRUE,1,0,1,0,2
"159","1634760-2",1097,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"160","1632821-3",639,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"161","1638290-4",1547,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"162","1636695-0",37,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"163","1647389-14",20733,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"164","1634593-3",811,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"165","1639139-6",13449,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"166","1651233-11",31836,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,1
"167","1625367-12",48400,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"168","1651935-3",853,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"169","1634681-0",201,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0
"170","1636965-1",1265,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0
"171","1649817-7",16354,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"172","1650043-11",86199,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,1
"173","1642331-11",15317,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"174","1637700-0",94,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"175","1637839-3",13253,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,1
"176","1645984-16",4747,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"177","1641795-9",5459,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"178","1645784-3",3642,TRUE,FALSE,TRUE,FALSE,TRUE,1,0,0,1,2
"179","1651368-0",64,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"180","1629429-2",5440,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"181","1637281-0",2126,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"182","1642956-3",7280,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"183","1636189-0",145,FALSE,TRUE,FALSE,FALSE,FALSE,0,1,1,0,2
"184","1644618-0",83,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0
"185","1651208-0",87,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"186","1648310-1",3416,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"187","1647358-0",189,FALSE,TRUE,TRUE,FALSE,FALSE,1,1,1,0,3
"188","1647204-0",5,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0
"189","1647892-4",13707,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"190","1638349-1",298,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"191","1638397-3",568,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"192","1647214-6",1294,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"193","1637877-6",21199,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"194","1641813-3",944,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"195","1638967-9",3025,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"196","1641806-3",814,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"197","1643308-0",36,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"198","1634222-8",1266,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"199","1639459-0",69,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"200","1650055-2",3220,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"201","1638364-0",189,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"202","1582879-0",1041,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0
"203","1640658-7",996,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"204","1635388-4",7159,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,1
"205","1647489-10",1890,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"206","1642331-9",11287,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"207","1630910-0",97,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"208","1642331-6",7870,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"209","1644509-2",2941,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"210","1644478-0",61,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,1
"211","1640929-3",4949,TRUE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,1
"212","1636283-3",2801,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"213","1647580-7",2233,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"214","1643164-5",17844,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
