"","file","object_id","tabular","semantic","definition_list","header_row","header_column","rule_1_violation","rule_2_violation","rule_3_violation","rule_4_violation","violations_sum","violation_present"
"1","1650255-9",21650,TRUE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0,FALSE
"2","1650594-3",813,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"3","1649219-5",2639,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"4","1650596-1",362,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"5","1650643-1",326,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"6","1650654-11",67869,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"7","1650626-15",16079,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,FALSE
"8","1616723-5",1466,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"9","1616773-4",1482,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0,FALSE
"10","1616723-3",751,TRUE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,FALSE
"11","1616724-12",6092,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,FALSE
"12","1636171-20",16842,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"13","1646657-0",113,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"14","1639246-15",5753,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"15","1637843-0",124,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"16","1606599-8",3355,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"17","1643577-9",23852,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"18","1648570-2",1035,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"19","1643246-1",1547,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"20","1635177-8",11622,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
"21","1644915-0",528,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"22","1635274-9",6068,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"23","1647373-6",2282,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,FALSE
"24","1642331-11",14392,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,FALSE
